OBJECTID,InspectionStatus,SURVEY_DATE,PARID,ADDR,FRONTAGE,DEPTH,AREA_SQFT,AREA_ACRES,LAND_VAL,BLDG_VAL,TTL_VAL,ZONING,CURR_USE,LICENSE,PREF_USE,SECND_USE,REC_PRICE,COMMENTS,NBRHD,WARD_2012,LUC,STNUMB,STNUMB2,STDIR,STNAME,STTYPE,Z_,MODIFIED_BY,LAST_MODIFIED,STATUSSINCESURVEY,SHAPE_STArea(),SHAPE_STLength()
2722,Y,2016-06-17 04:00:00,7000003,2460 AKRON PENINSULA RD,None,None,37751710,866.66,550000,None,None,Unknown,8, ,8,0,None,Heavily wooded area ,None,None,640,2460,None,None,AKRON PENINSULA,RD,None,ROZENDA,2017-02-21 11:58:00,None,142768.612915,1604.79547255
2723,Y,2016-06-17 04:00:00,7000003,2460 AKRON PENINSULA RD,None,None,37751710,866.66,550000,None,None,Unknown,8, ,8,0,None,Heavily wooded area ,None,None,640,2460,None,None,AKRON PENINSULA,RD,None,ROZENDA,2017-02-21 11:58:00,None,150750.346436,2167.71789578
2724,Y,2016-06-20 04:00:00,6751889,E MARKET ST,None,None,3838,0.0881,30990,None,None,U-3,10, ,10,0,None,See adjacent parcels for pic ,Downtown Akron,W1,640,None,None,E,MARKET,ST,None,ROZENDA,2017-02-21 11:58:00,None,3834.86364746,276.030093384
2725,Y,2016-06-20 04:00:00,6803352,41 S HIGH ST,None,None,18513,0.425,149500,None,None,U-3,9, ,9,0,None,"Parking for John S Knight Center, see adjacent parcels for pic ",Downtown Akron,W1,640,41,None,S,HIGH,ST,None,ROZENDA,2017-02-21 11:58:00,None,17343.9638672,526.794525487
2726,Y,2016-06-17 04:00:00,6849543,146 S HIGH ST,None,None,4439,0.1019,35850,None,None,U-3,9, ,9,0,None,CitiCenter Deck,Downtown Akron,W1,640,146,None,S,HIGH,ST,None,ROZENDA,2017-02-21 11:58:00,None,4277.39855957,297.36756179
2727,Y,2016-06-17 04:00:00,6849544,146 S HIGH ST,None,None,2866,0.0658,23150,None,None,U-3,9, ,9,0,None,"CitiCenter Parking Deck, see adjacent parcels for pic ",Downtown Akron,W1,640,146,None,S,HIGH,ST,None,ROZENDA,2017-02-21 11:58:00,None,3301.23937988,270.768012218
2728,Y,2016-06-17 04:00:00,6814752,103 S HIGH ST,None,None,26833,0.616,254900,None,None,U-3,3, ,3,0,None,Gray Stone Hall with retail shops below,Downtown Akron,W1,449,103,None,S,HIGH,ST,None,ROZENDA,2017-02-21 11:58:00,None,27642.2683105,688.116611422
2729,Y,2016-06-17 04:00:00,6849539,146 S HIGH ST,None,None,2457,0.0564,19830,None,None,U-3,9, ,9,0,None,"CitiCenter Parking Deck, see adjacent parcels for pic ",Downtown Akron,W1,640,146,None,S,HIGH,ST,None,ROZENDA,2017-02-21 11:58:00,None,2440.22912598,246.66554435
2730,Y,2016-06-17 04:00:00,6849538,146 S HIGH ST,None,None,3463,0.0795,27950,None,None,U-3,9, ,9,0,None,"CitiCenter Parking Deck, see adjacent parcels for pic ",Downtown Akron,W1,640,146,None,S,HIGH,ST,None,ROZENDA,2017-02-21 11:58:00,None,3203.15393066,255.812871611
2731,Y,2016-06-17 04:00:00,6759439,S MAIN ST,None,None,3036,0.0697,24530,None,None,U-3,3, ,3,0,None,"Part of 5/3 Building , entrance to tunnel to Cascade",Downtown Akron,W1,640,None,None,S,MAIN,ST,None,ROZENDA,2017-02-21 11:58:00,None,1740.26391602,182.167400595
2732,Y,2016-06-17 04:00:00,6849039,146 S HIGH ST,None,None,8298,0.1905,67020,None,None,U-3,3, ,3,0,None,"Part of CitiCenter, see adjacent parcels for pic ",Downtown Akron,W1,640,146,None,S,HIGH,ST,None,ROZENDA,2017-02-21 11:58:00,None,8051.47741699,361.725962144
2733,Y,2016-06-17 04:00:00,6716602,166 S HIGH ST,None,None,21397,0.4912,172770,None,None,U-3,3, ,3,0,None,Municipal Building,Downtown Akron,W1,640,166,None,S,HIGH,ST,None,ROZENDA,2017-02-21 11:58:00,None,20500.8883057,580.668376373
2734,Y,2016-06-17 04:00:00,6821699,149 S BROADWAY ST,None,None,26602,0.6107,214800,None,None,Unknown,9, ,9,0,None,Morley Parking Deck,Downtown Akron,W1,640,149,None,S,BROADWAY,ST,None,ROZENDA,2017-02-21 11:58:00,None,25225.0146484,643.440449812
2735,Y,2016-06-17 04:00:00,6821702,S BROADWAY ST,None,None,7601,0.1745,61370,None,None,Unknown,9, ,9,0,None,"Morley Parking Deck, see adjacent parcels for pic ",Downtown Akron,W1,640,None,None,S,BROADWAY,ST,None,ROZENDA,2017-02-21 11:58:00,None,7561.95129395,457.525277982
2736,Y,2016-06-15 04:00:00,6717450,COLLEGE ST,None,None,78408,1.8,137700,None,None,Unknown,7, ,8,9,None,None,University of Akron,W1,660,None,None,S,COLLEGE,ST,None,ROZENDA,2017-02-21 11:58:00,None,92208.739624,1375.28763674
2737,Y,2016-06-02 04:00:00,6837701,S ADOLPH ST,None,None,7440,0.1708,20550,None,None,U-2,7, ,11,0,None,None,University of Akron,W5,640,None,None,S,ADOLPH,AVE,None,ROZENDA,2017-02-21 11:58:00,None,7376.77429199,366.533594488
2738,Y,2016-06-17 04:00:00,6751988,UNIVERSITY AVE,None,None,5493,0.1261,44360,None,None,U-4,8, ,8,0,None,See adjacent parcel for pic ,Downtown Akron,W1,640,None,None,None,UNIVERSITY,AVE,None,ROZENDA,2017-02-21 11:58:00,None,6086.1907959,418.270965851
2739,Y,2016-06-17 04:00:00,6853697,UNIVERSITY AVE,None,None,91,0.0021,250,None,None,Unknown,14, ,14,0,None,None,University of Akron,W1,640,None,None,None,UNIVERSITY,AVE,None,ROZENDA,2017-02-21 11:58:00,None,102.881591797,41.7079127845
2740,Y,2016-06-17 04:00:00,6734921,S MAIN ST,None,None,3049,0.07,24620,None,None,U-3,9, ,9,0,None,See adjacent parcels for pic ,Downtown Akron,W1,640,None,None,S,MAIN,ST,None,ROZENDA,2017-02-21 11:58:00,None,3315.64831543,325.624839989
2741,Y,2016-06-17 04:00:00,6809036,S MAIN ST,None,None,3302,0.0758,26650,None,None,U-3,9, ,9,0,None,See adjacent parcels for pic ,Downtown Akron,W1,640,None,None,S,MAIN,ST,None,ROZENDA,2017-02-21 11:58:00,None,2959.79418945,320.522147896
2742,Y,2016-06-17 04:00:00,6811618,283 S MAIN ST,None,None,3097,0.0711,170000,None,None,U-3,9, ,9,0,None,See adjacent parcel for pic ,Downtown Akron,W1,456,283,None,S,MAIN,ST,None,ROZENDA,2017-02-21 11:58:00,None,3155.35229492,323.41124452
2743,Y,2016-06-02 04:00:00,6717410,BUCHTEL AVE,None,None,5841,0.1341,20080,None,None,U-3,8, ,8,0,None,Cotter Park,University of Akron,W5,640,None,None,None,BUCHTEL,AVE,None,ROZENDA,2017-02-21 11:58:00,None,5891.29638672,360.42585906
2744,Y,2016-06-17 04:00:00,6716635,217 S HIGH ST,None,None,66211,1.52,534650,None,None,U-3,3, ,3,0,None,Stubbs Building-Police Dept,Downtown Akron,W1,640,217,None,S,HIGH,ST,None,ROZENDA,2017-02-21 11:58:00,None,67609.3743896,1059.07976276
2745,Y,2016-05-25 04:00:00,6727716,16 S ARLINGTON ST,None,None,4961,0.1139,9920,None,None,U-3,7, ,7,4,None,Adjacent to Middlebury Marketplace. See photo 69.,University of Akron,W10,640,16,None,S,ARLINGTON,ST,None,ROZENDA,2017-02-21 11:58:00,None,4693.51123047,325.012557339
2746,Y,2016-05-24 04:00:00,6704361,746 ROSELAWN AVE,45,100,4500,0.1033,13450,None,None,U-1,7, ,12,12,None,None,Middlebury,W10,640,746,None,None,ROSELAWN,AVE,D,ROZENDA,2017-02-21 11:58:00,None,4591.29345703,293.291107189
2747,Y,2016-06-28 04:00:00,6761375,ANNADALE AVE,None,None,16792,0.3855,4340,None,None,Unknown,7, ,4,0,None,Former Akron Barberton Cluster Railroad corridor,University of Akron,W5,640,None,None,None,ANNADALE,AVE,None,ROZENDA,2017-02-21 11:58:00,None,15860.0179443,895.902425353
2748,Y,2016-06-17 04:00:00,6717475,S HIGH ST,None,None,22638,0.5197,182790,None,None,U-3,8, ,8,0,None,None,Downtown Akron,W1,640,None,None,S,HIGH,ST,None,ROZENDA,2017-02-21 11:58:00,None,22812.635376,624.930971563
2749,Y,2016-06-20 04:00:00,6761833,S MAIN ST,None,None,2134,0.049,4350,None,None,U-3,3, ,3,0,None,Shipping & receiving for the Library,Downtown Akron,W1,640,None,None,S,MAIN,ST,None,ROZENDA,2017-02-21 11:58:00,None,1718.3605957,236.621997179
2750,Y,2016-06-02 04:00:00,6732555,503 E BUCHTEL AVE,None,None,6011,0.138,16610,None,None,U-2,7, ,12,0,None,None,University of Akron,W5,640,503,None,E,BUCHTEL,AVE,None,ROZENDA,2017-02-21 11:58:00,None,6006.89111328,395.42757186
2751,Y,2016-07-06 04:00:00,6761899,FOUNTAIN ST,None,None,87,0.002,150,None,None,Unknown,14, ,14,0,None,"Part of old corner rounding or easement, too small for pic ",University of Akron,W5,640,None,None,None,FOUNTAIN,ST,None,ROZENDA,2017-02-21 11:58:00,None,90.9477539062,70.8859355168
2752,Y,2016-05-25 04:00:00,6702051,891 E EXCHANGE ST,None,None,15965,0.3665,51890,None,None,U-4,7, ,7,4,None,Adjacent to Middlebury Marketplace.,University of Akron,W10,640,891,None,E,EXCHANGE,ST,None,ROZENDA,2017-02-21 11:58:00,None,14865.0209961,517.975880382
2753,Y,2016-05-25 04:00:00,6834223,903 E EXCHANGE ST,None,None,9657,0.2217,18520,None,None,U-4,7, ,7,4,None,Adjacent to Middlebury Marketplace.,University of Akron,W10,640,903,None,E,EXCHANGE,ST,None,ROZENDA,2017-02-21 11:58:00,None,10572.0457764,434.496320323
2754,Y,2016-06-17 04:00:00,6758926,77 E MILL ST,None,None,157892,3.6247,1109160,None,None,U-3,3, ,3,0,None,John S Knight Center,Downtown Akron,W1,640,77,None,E,MILL,ST,None,ROZENDA,2017-02-21 11:58:00,None,141341.566895,1796.05070408
2755,Y,2016-05-25 04:00:00,6736658,ROBINSON ST,83,97,8050,0.1848,22240,None,None,U-3,7, ,7,4,None,Adjacent to Middlebury Marketplace. See photo 69.,University of Akron,W10,640,None,None,None,ROBINSON,ST,None,ROZENDA,2017-02-21 11:58:00,None,8051.40405273,357.924206218
2756,Y,2016-05-25 04:00:00,6736659,ROBINSON ST,64,82,5249,0.1205,14500,None,None,U-3,7, ,7,4,None,Adjacent to Middlebury Marketplace. See photo 69.,University of Akron,W10,640,None,None,None,ROBINSON,ST,None,ROZENDA,2017-02-21 11:58:00,None,5327.11328125,297.565204982
2757,Y,2016-05-25 04:00:00,6736661,ROBINSON ST,60,71,4260,0.0978,11770,None,None,U-3,7, ,7,4,None,Adjacent to Middlebury Marketplace. See photo 69.,University of Akron,W10,640,None,None,None,ROBINSON,ST,None,ROZENDA,2017-02-21 11:58:00,None,4308.37609863,265.900250362
2758,Y,2016-05-25 04:00:00,6736660,ROBINSON ST,60,157,9422,0.2163,26020,None,None,U-3,7, ,7,4,None,Adjacent to Middlebury Marketplace. See photo 69.,University of Akron,W10,640,None,None,None,ROBINSON,ST,None,ROZENDA,2017-02-21 11:58:00,None,9324.63098145,436.013611876
2759,Y,2016-05-25 04:00:00,6729626,ROBINSON ST,65,82,5332,0.1224,14720,None,None,U-3,7, ,7,4,None,Adjacent to Middlebury Marketplace. See photo 69.,University of Akron,W10,640,None,None,None,ROBINSON,ST,None,ROZENDA,2017-02-21 11:58:00,None,5211.30761719,293.422572829
2760,Y,2016-05-25 04:00:00,6762160,871 E EXCHANGE ST,None,None,354609,8.1407,127780,None,None,U-4,3, ,3,0,None,Middlebury Marketplace,University of Akron,W10,426,871,None,E,EXCHANGE,ST,D,ROZENDA,2017-02-21 11:58:00,None,358448.508423,3501.64775344
2761,Y,2016-05-25 04:00:00,6727717,16 S ARLINGTON ST,None,None,7004,0.1608,14010,None,None,U-3,7, ,7,4,None,Adjacent to Middlebury Marketplace. Photo comprises multiple parcels.,University of Akron,W10,640,16,None,S,ARLINGTON,ST,None,ROZENDA,2017-02-21 11:58:00,None,9141.02319336,409.623429815
2762,Y,2016-05-25 04:00:00,6755951,E MARKET ST,None,None,50791,1.166,52470,None,None,U-3,9, ,9,0,None,Parking lot for 850 E Market,University of Akron,W10,640,None,None,E,MARKET,ST,None,ROZENDA,2017-02-21 11:58:00,None,48657.8690186,1101.17378727
2763,Y,2016-05-25 04:00:00,6755953,850 E MARKET ST,None,None,169884,3.9,247500,None,None,U-3,3, ,3,0,None,None,University of Akron,W10,640,850,None,E,MARKET,ST,None,ROZENDA,2017-02-21 11:58:00,None,170088.564453,1933.33369198
2764,Y,2016-06-20 04:00:00,6762052,26 S SUMMIT ST,None,None,15272,0.3506,123310,None,None,U-4,9, ,9,0,None,Zoning split between U-3 and U-4,Downtown Akron,W1,640,26,None,S,SUMMIT,ST,D,ROZENDA,2017-02-21 11:58:00,None,13978.480835,606.790853174
2765,Y,2016-06-20 04:00:00,6762812,S BROADWAY ST,None,None,7627,0.1751,36230,None,None,U-3,9, ,9,0,None,See adjacent parcel for pic ,Downtown Akron,W1,640,None,None,S,BROADWAY,ST,D,ROZENDA,2017-02-21 11:58:00,None,7628.62536621,363.17022399
2766,Y,2016-06-17 04:00:00,6716644,177 S BROADWAY ST,None,None,18700,0.4293,151000,None,None,Unknown,9, ,9,0,None,"Part of Morley Parking Deck, see adjacent parcels for pic ",Downtown Akron,W1,640,177,None,S,BROADWAY,ST,None,ROZENDA,2017-02-21 11:58:00,None,18561.7523193,571.614052448
2767,Y,2016-06-17 04:00:00,6758927,221 S BROADWAY ST,None,None,100584,2.3091,822960,None,None,Unknown,3, ,4,0,None,Inventors Hall of Fame & Stem School,Downtown Akron,W1,640,221,None,S,BROADWAY,ST,None,ROZENDA,2017-02-21 11:58:00,None,109574.236084,1474.15173794
2768,Y,2016-06-17 04:00:00,6732314,285 S MAIN ST,None,None,14767,0.339,119230,None,None,U-3,9, ,9,0,None,None,Downtown Akron,W1,640,285,None,S,MAIN,ST,None,ROZENDA,2017-02-21 11:58:00,None,15687.409668,503.790869601
2769,Y,2016-06-17 04:00:00,6711190,122 S BROADWAY ST,None,None,26136,0.6,211050,None,None,U-3,9, ,9,0,None,"Part of Broadway Deck, see adjacent parcels for pic ",Downtown Akron,W1,640,122,None,S,BROADWAY,ST,D,ROZENDA,2017-02-21 11:58:00,None,27271.0505371,676.343092382
2770,Y,2016-05-25 04:00:00,6763000,871 E EXCHANGE ST,None,None,None,0.0,None,None,None,U-4,3, ,3,0,None,Middlebury Marketplace ,University of Akron,W10,720,871,None,E,EXCHANGE,ST,D,ROZENDA,2017-02-21 11:58:00,None,356068.719238,3273.59287633
2771,Y,2016-06-20 04:00:00,6807534,11 S MAIN ST,None,None,7449,0.171,60160,None,None,U-3,10, ,10,0,None,None,Downtown Akron,W1,640,11,None,S,MAIN,ST,None,ROZENDA,2017-02-21 11:58:00,None,7934.87890625,371.067786286
2772,Y,2016-06-17 04:00:00,6756685,146 S HIGH ST,None,None,None,0.0,None,None,None,U-3,3, ,3,0,None,CitiCenter Building,Downtown Akron,W1,499,146,None,S,HIGH,ST,None,ROZENDA,2017-02-21 11:58:00,None,11559.9533691,464.261851504
2773,Y,2016-06-17 04:00:00,6850185,146 S HIGH ST,None,None,11761,0.27,111730,None,None,U-3,3, ,3,0,None,"CitiCenter, see adjacent parcel for pic ",Downtown Akron,W1,640,146,None,S,HIGH,ST,None,ROZENDA,2017-02-21 11:58:00,None,11559.9533691,464.261851504
2774,Y,2016-05-25 04:00:00,6729627,ROBINSON ST,58,140,8120,0.1864,22430,None,None,U-3,7, ,7,4,None,Adjacent to Middlebury Marketplace. See photo 69.,University of Akron,W10,640,None,None,None,ROBINSON,ST,None,ROZENDA,2017-02-21 11:58:00,None,7481.16052246,390.927493027
2775,Y,2016-06-28 04:00:00,6859582,BEAVER ST,None,None,127687,2.9313,56060,None,None,U-5,7, ,4,0,None,Zoning split between U-3 and U-5.  Former Akron Barberton Cluster Railroad corridor.,University of Akron,W10,640,None,None,None,BEAVER,ST,D,ROZENDA,2017-02-21 11:58:00,None,130890.843994,5613.56773072
2776,Y,2016-06-20 04:00:00,6761934,40 S HIGH ST,None,None,47480,1.09,392400,None,None,U-3,9, ,9,0,None,Parking deck for Library,Downtown Akron,W1,640,40,None,S,HIGH,ST,None,ROZENDA,2017-02-21 11:58:00,None,47052.2015381,1014.21859343
2777,Y,2016-06-20 04:00:00,6763442,40 S HIGH ST,None,None,None,0.0,None,None,None,U-3,9, ,9,0,None,Parking deck for library,Downtown Akron,W1,640,40,None,S,HIGH,ST,None,ROZENDA,2017-02-21 11:58:00,None,47052.2015381,1014.21859343
2778,Y,2016-06-28 04:00:00,6761374,E EXCHANGE ST,None,None,33598,0.7713,14750,None,None,Unknown,7, ,4,0,None,Former Akron Barberton Cluster Railroad corridor,University of Akron,W5,640,None,None,E,EXCHANGE,ST,None,ROZENDA,2017-02-21 11:58:00,None,33844.0605469,1772.00679517
2779,Y,2016-06-17 04:00:00,6760004,BROADWAY ST,None,None,37462,0.86,65790,None,None,U-4,8, ,8,0,None,None,University of Akron,W1,640,None,None,S,BROADWAY,ST,None,ROZENDA,2017-02-21 11:58:00,None,38219.9123535,1712.36322139
2780,Y,2016-06-17 04:00:00,6760146,122 S BROADWAY ST,None,None,36272,0.8327,170720,None,None,U-4,9, ,9,0,None,Broadway Deck,Downtown Akron,W1,640,122,None,S,BROADWAY,ST,None,ROZENDA,2017-02-21 11:58:00,None,38441.3543701,831.770351044
2781,Y,2016-06-17 04:00:00,6762940,122 S BROADWAY ST,None,None,None,0.0,None,None,None,U-4,9, ,9,0,None,"Broadway Deck, see adjacent parcel for pic ",Downtown Akron,W1,499,122,None,S,BROADWAY,ST,None,ROZENDA,2017-02-21 11:58:00,None,38441.3543701,831.770351044
2782,Y,2016-06-21 04:00:00,6809154,146 ARCHWOOD AVE,40,135,5401,0.124,16150,None,None,U-1,7, ,12,0,None,None,Firestone Park,W7,500,146,None,E,ARCHWOOD,AVE,None,ROZENDA,2017-02-21 11:58:00,None,5217.01403809,340.851476478
2783,Y,2016-06-21 04:00:00,6727341,257 E IDO AVE,40,148,5920,0.1359,19330,None,None,U-1,7, ,12,0,None,Lot sale,Firestone Park,W7,500,257,None,E,IDO,AVE,None,ROZENDA,2017-02-21 13:02:45,Sold/Removed,5758.22338867,382.68147632
2784,Y,2016-06-21 04:00:00,6717067,GIRARD ST,None,None,9583,0.22,26350,None,None,U-1,8, ,8,0,None,Firestone Park,Firestone Park,W7,640,None,None,None,GIRARD,ST,None,ROZENDA,2017-02-21 11:58:00,None,17576.4283447,848.040185172
2785,Y,2016-06-14 04:00:00,6717300,1544 BROWN ST,None,None,22690,0.5209,62400,None,None,U-1,3, ,3,0,None,Fire station,Firestone Park,W7,640,1544,None,None,BROWN,ST,None,ROZENDA,2017-02-21 11:58:00,None,28049.4206543,697.901657402
2786,Y,2016-06-21 04:00:00,6717058,1480 GIRARD ST,None,None,566716,13.01,255210,None,None,U-1,8, ,8,0,None,Firestone Park,Firestone Park,W7,640,1480,None,None,GIRARD,ST,None,ROZENDA,2017-02-21 11:58:00,None,525433.678833,3225.67004702
2787,Y,2016-06-21 04:00:00,6815090,1571 S MAIN ST,None,None,5393,0.1238,17530,None,None,U-3,9, ,9,0,None,Parking lot for Pro Audio & Lighting.,Firestone Park,W7,640,1571,None,S,MAIN,ST,D,ROZENDA,2017-02-21 11:58:00,None,5048.40429688,320.571126664
2788,Y,2016-06-21 04:00:00,6747170,1559 S MAIN ST,None,None,5785,0.1328,15980,None,None,U-3,3, ,3,0,None,Pro Audio & Lighting. For photo see parcel 6747171.,Firestone Park,W7,640,1559,None,S,MAIN,ST,D,ROZENDA,2017-02-21 11:58:00,None,5824.03759766,347.934225538
2789,Y,2016-06-21 04:00:00,6747171,1559 S MAIN ST,None,None,5606,0.1287,15480,None,None,U-3,3, ,3,0,None,Pro Audio & Lighting.,Firestone Park,W7,640,1559,None,S,MAIN,ST,D,ROZENDA,2017-02-21 11:58:00,None,5731.23913574,341.117838457
2790,Y,2016-06-21 04:00:00,6717049,1486 ASTER AVE,None,None,53143,1.22,72250,None,None,U-1,9, ,9,0,None,None,Firestone Park,W7,640,1486,None,None,ASTER,AVE,None,ROZENDA,2017-02-21 11:58:00,None,52145.4217529,1347.50366123
2791,Y,2016-06-21 04:00:00,6762122,ASTER AVE,None,None,6726,0.1544,2460,None,None,U-1,9, ,9,0,None,For photo see parcel 6717049.,Firestone Park,W7,640,None,None,None,ASTER,AVE,None,ROZENDA,2017-02-21 11:58:00,None,6737.17749023,1144.31708956
2792,Y,2016-06-21 04:00:00,6747169,1559 S MAIN ST,None,None,5963,0.1369,19380,None,None,U-3,3, ,3,0,None,Pro Audio & Lighting. For photo see parcel 6747171.,Firestone Park,W7,640,1559,None,S,MAIN,ST,D,ROZENDA,2017-02-21 11:58:00,None,6277.20874023,359.834341785
2793,Y,2016-06-14 04:00:00,6710563,26 W WILBETH RD,41,89,3650,0.0838,11930,None,None,U-4,7, ,11,0,None,For photo see parcel 6729357.,Firestone Park,W7,640,26,None,W,WILBETH,RD,None,ROZENDA,2017-02-21 11:58:00,None,3589.52648926,258.156031875
2794,Y,2016-06-14 04:00:00,6703255,28 W WILBETH RD,40,89,3559,0.0817,11780,None,None,U-4,7, ,11,0,None,None,Firestone Park,W7,640,28,None,W,WILBETH,RD,None,ROZENDA,2017-02-21 11:58:00,None,3497.20495605,253.344145718
2795,Y,2016-06-14 04:00:00,6703194,28 W WILBETH RD,40,40,1599,0.0367,3860,None,None,U-4,7, ,11,0,None,None,Firestone Park,W7,640,28,None,W,WILBETH,RD,D,ROZENDA,2017-02-21 11:58:00,None,1548.51867676,157.405524105
2796,Y,2016-06-14 04:00:00,6729373,HEMLOCK   (EAST OF) ST,None,None,3202,0.0735,8840,None,None,U-4,7, ,11,0,None,Rear lot. For photo see parcel 6703194.,Firestone Park,W7,640,None,None,None,HEMLOCK (EAST OF),ST,D,ROZENDA,2017-02-21 11:58:00,None,3210.52050781,241.52172147
2797,Y,2016-06-14 04:00:00,6729374,HEMLOCK ST,None,None,4840,0.1111,6790,None,None,U-1B,7, ,0,0,None,For photo see parcel 6703194.,Firestone Park,W7,640,None,None,None,HEMLOCK,ST,D,ROZENDA,2017-02-21 11:58:00,None,4723.03588867,319.506530159
2798,Y,2016-06-10 04:00:00,6857540,492 KOERBER AVE,None,None,8969,0.2059,20180,None,None,U-1,7, ,11,0,None,None,Kenmore,W9,500,492,None,None,KOERBER,AVE,None,ROZENDA,2017-02-21 11:58:00,None,9234.99804688,393.680452917
2799,Y,2016-06-10 04:00:00,6717312,EDWIN AVE,None,None,211702,4.86,72250,None,None,U-1,8, ,8,0,None,Diamond Crystal Park,Kenmore,W9,640,None,None,None,EDWIN,AVE,None,ROZENDA,2017-02-21 11:58:00,None,187695.006226,1744.39148373
2800,Y,2016-06-14 04:00:00,6760582,W WATERLOO RD,None,None,1761131,40.43,764130,None,None,U-5,7, ,7,0,None,"Zoning split between U-1B, U-4, U-5, and WATER. Heavily wooded wetland.",Firestone Park,W7,640,None,None,W,WATERLOO,RD,D,ROZENDA,2017-02-21 11:58:00,None,1701958.80969,6542.28110963
2801,Y,2016-06-14 04:00:00,6808746,WATERLOO RD,None,None,21048,0.4832,7510,None,None,U-4,7, ,7,0,None,None,Firestone Park,W7,640,None,None,None,WATERLOO,RD,None,ROZENDA,2017-02-21 11:58:00,None,19090.1727295,933.333921213
