OBJECTID,JUR,PARID,TAXYR,LLINE,LTYPE,CODE,SEQ,CUR,WHO,WEN,WHOCALC,WENCALC,STATUS,FRONACT,FRONEFF,DEPTH,DEPTBL,DEPFACT,SF,ACRES,UNITS,EXMPPCT,EXMPVAL,OSIZE,ORATE,OINCR,ODECR,BSIZE,BRATE,BINCR,BDECR,INFL1,INFL2,INFLU,ZONING,LCODEMOD,NMOD,ZMOD,LMOD,SMOD,UMOD,SFACT,COMRES,PRICE,ADJFACT,CLASS,AGFLG,CHGRSN,NOTE1,USER1,DEACTIVAT,SALEKEY,IASW_ID,TRANS_ID,UPD_STATUS
1461364,000,4503307,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:39:02,3,79.0,79,173,150,1.07000005245,13667.0,0.3138,None,None,59820.0,None,None,None,None,80,725,360,360,None,None,None,None,0,179,0,0,0,0,None,N,59820.0,0.97000002861,None,None,None,None,TomCalpAdjust,None,None,1.96991e+008,None,None
1461605,000,0115549,2017,1,A,02,0,Y,EOY ROLL,2016-11-19 06:22:51,None,None,3,None,None,None,None,1.0,43560.0,1.0,None,None,78200.0,None,None,None,None,1,85000,85000,85000,None,None,None,None,1,3013,0,0,0,0,None,N,78200.0,0.920000016689,None,None,None,None,TomCalpAdjust,None,None,1.97072e+008,None,None
1461801,000,5616994,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:26:18,3,105.0,105,167,150,1.04999995232,17535.0,0.4025,None,None,62670.0,None,None,None,None,90,625,310,310,None,None,None,None,0,194,0,0,0,0,None,N,62670.0,0.980000019073,None,None,None,None,TomCalpAdjust,None,None,1.97043e+008,None,None
1462046,000,5001319,2017,2,A,09,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:39:00.000001,3,None,None,None,None,1.0,50530.0,1.16,None,None,0.0,None,None,None,None,1,8500,8500,8500,None,None,None,None,0,307,0,0,0,0,None,N,9860.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97026e+008,None,None
1462361,000,5605338,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:41:52.000001,3,75.0,75,137,150,0.949999988079,10275.0,0.2359,None,None,21310.0,None,None,None,None,80,325,160,160,None,None,None,None,0,171,0,0,0,0,None,N,21310.0,0.889999985695,None,None,None,None,TomCalpAdjust,None,None,1.97238e+008,None,None
1462603,000,3505133,2017,3,F,21,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:46:06,3,40.0,40,190,150,1.11000001431,7600.0,0.1745,None,None,17900.0,None,None,None,None,100,240,120,120,None,None,None,None,0,208,0,0,0,0,None,N,17900.0,0.959999978542,None,None,None,None,TomCalpAdjust,None,None,1.97123e+008,None,None
1462796,000,4801215,2017,2,A,09,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:44:56,3,None,None,None,None,1.0,90169.0,2.07,None,None,0.0,None,None,None,None,1,9500,9500,9500,None,None,None,None,0,308,0,0,0,0,None,N,18680.0,0.949999988079,None,None,None,None,TomCalpAdjust,None,None,1.9699e+008,None,None
1463014,000,1507810,2017,1,A,02,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:49:04,3,None,None,None,None,1.0,43560.0,1.0,None,None,45000.0,None,None,None,None,1,45000,45000,45000,None,None,None,None,1,3005,0,0,0,0,None,N,45000.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.9714e+008,None,None
1463259,000,3502424,2017,1,F,21,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:45:10,3,75.0,75,361,150,1.22000002861,27075.0,0.6216,None,None,16400.0,None,None,None,None,100,160,80,80,None,None,None,None,0,205,0,0,0,0,None,N,16400.0,0.959999978542,None,None,None,None,None,None,None,1.96998e+008,None,None
1463475,000,0204729,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:29:20,3,47.0,47,165,150,1.04999995232,7755.0,0.178,None,None,26210.0,None,None,None,None,50,525,260,260,None,None,None,None,0,124,0,0,0,0,None,N,26210.0,0.980000019073,None,None,None,None,TomCalpAdjust,None,None,1.97001e+008,None,None
1463723,000,2301525,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:30:09,3,95.0,95,260,150,1.16999995708,24700.0,0.567,None,None,25680.0,None,None,None,None,100,225,110,110,None,None,None,None,0,203,0,0,0,0,None,N,25680.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97064e+008,None,None
1464018,000,0111613,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:45:06,3,30.0,30,120,150,0.889999985695,3600.0,0.0826,None,None,11610.0,None,None,None,None,50,325,160,160,None,None,None,None,0,120,0,0,0,0,None,N,11610.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.96993e+008,None,None
1464259,000,0217706,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:29:20,3,77.0,77,105,150,0.829999983311,8085.0,0.1856,None,None,32010.0,None,None,None,None,70,525,260,260,None,None,None,None,0,158,0,0,0,0,None,N,32010.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.96994e+008,None,None
1464501,000,6003194,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:26:43.000001,3,116.0,116,301,150,1.20000004768,34916.0,0.8016,None,None,39970.0,None,None,None,None,100,325,160,160,None,None,None,None,0,205,0,0,0,0,None,N,39970.0,0.949999988079,None,None,None,None,TomCalpAdjust,None,None,1.97015e+008,None,None
1464743,000,0109114,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,None,None,3,48.0,48,147,150,0.990000009537,7056.0,0.162,None,None,18190.0,None,None,None,None,50,375,190,190,None,None,None,None,0,121,0,0,0,0,None,N,18190.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97162e+008,None,None
1465009,000,0205533,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:50:43,3,50.0,50,120,150,0.889999985695,6000.0,0.1377,None,None,21140.0,None,None,None,None,50,475,240,240,None,None,None,None,0,123,0,0,0,0,None,N,21140.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97005e+008,None,None
1465229,000,0212473,2017,1,F,09,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:30:40,3,48.0,48,88,150,0.769999980927,4224.0,0.097,None,None,3880.0,None,None,None,None,50,105,53,53,None,None,None,None,0,124,0,0,0,0,None,N,3880.0,0.980000019073,None,None,None,None,TomCalpAdjust,None,None,1.97086e+008,None,None
1465496,000,5603885,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:26:12,3,83.0,83,145,150,0.980000019073,12035.0,0.2763,None,None,28150.0,None,None,None,None,70,375,190,190,None,None,None,None,0,155,0,0,0,0,None,N,28150.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97002e+008,None,None
1465714,000,1504877,2017,2,A,09,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:45:07,3,None,None,None,None,1.0,265716.0,6.1,None,None,0.0,None,None,None,None,1,6500,6500,6500,None,None,None,None,0,305,0,0,0,0,None,N,36870.0,0.930000007153,None,None,None,None,TomCalpAdjust,None,None,1.96996e+008,None,None
1465932,000,0112336,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:42:23,3,50.0,50,174,150,1.07000005245,8700.0,0.1997,None,None,20440.0,None,None,None,None,40,425,210,210,None,None,None,None,0,105,0,0,0,0,None,N,20440.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97037e+008,None,None
1466179,000,0217017,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:32:46.000001,3,60.0,60,90,150,0.769999980927,5400.0,0.124,None,None,21510.0,None,None,None,None,40,575,290,290,None,None,None,None,0,108,0,0,0,0,None,N,21510.0,0.97000002861,None,None,None,None,TomCalpAdjust,None,None,1.97053e+008,None,None
1466395,000,2814166,2017,1,A,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:30:18,3,None,None,None,None,1.0,43560.0,1.0,None,None,77500.0,None,None,None,None,1,77500,38750,38750,None,None,None,None,0,314,0,0,0,0,None,N,77500.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97119e+008,None,None
1466609,000,4503532,2017,1,S,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:50:54,3,None,None,None,None,1.0,3375.0,0.0775,None,None,32860.0,None,None,None,None,1,10.25,10.25,10.25,None,None,None,None,0,650,0,0,0,0,None,N,32860.0,0.949999988079,None,None,None,None,TomCalpAdjust,None,None,1.96998e+008,None,None
1466855,000,5801399,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:45:26,3,70.0,70,152,150,1.00999999046,10640.0,0.2443,None,None,26510.0,None,None,None,None,70,375,190,190,None,None,None,None,0,155,0,0,0,0,None,N,26510.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97016e+008,None,None
1467102,000,4002749,2017,1,S,50,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:29:25,3,None,None,None,None,1.0,1239.0,0.0284,None,None,10890.0,None,None,None,None,1,9.25,9.25,9.25,None,None,None,None,0,616,0,0,0,0,None,N,10890.0,0.949999988079,None,None,None,None,TomCalpAdjust,None,None,1.97e+008,None,None
1467318,000,0213547,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:46:06,3,60.0,60,108,150,0.839999973774,6480.0,0.1488,None,None,21420.0,None,None,None,None,60,425,210,210,None,None,None,None,0,139,0,0,0,0,None,N,21420.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97134e+008,None,None
1467529,000,0112686,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:33:13.000001,3,33.0,33,120,150,0.889999985695,3960.0,0.0909,None,None,12160.0,None,None,None,None,50,375,190,190,None,None,None,None,0,121,0,0,0,0,None,N,12160.0,0.879999995232,None,None,None,None,TomCalpAdjust,None,None,1.97072e+008,None,None
1467725,000,4503088,2017,1,A,01,0,Y,EOY ROLL,2016-11-19 06:22:51,None,None,3,None,None,None,None,1.0,40946.0,0.94,None,None,39160.0,None,None,None,None,1,42500,21250,21250,None,None,None,None,0,307,0,0,0,0,None,N,39160.0,0.949999988079,None,None,None,None,TomCalpAdjust,None,None,1.96997e+008,None,None
1467941,000,2803161,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:47:57,3,100.0,100,493,150,1.26999998093,49300.0,1.1318,None,None,19640.0,None,None,None,None,100,175,90,90,None,None,None,None,0,202,0,0,0,0,None,N,22230.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97027e+008,None,None
1468183,000,3500556,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:49:02,3,118.0,118,264,150,1.19000005722,31152.0,0.7152,None,None,22750.0,None,None,None,None,100,175,90,90,None,None,None,None,0,202,0,0,0,0,None,N,22750.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97156e+008,None,None
1468455,000,4101637,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:42:15,3,40.0,40,172,150,1.07000005245,6880.0,0.1579,None,None,22470.0,None,None,None,None,40,525,260,260,None,None,None,None,0,107,0,0,0,0,None,N,22470.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.96996e+008,None,None
1468721,000,2803556,2017,1,A,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:43:19,3,None,None,None,None,1.0,43560.0,1.0,None,None,23140.0,None,None,None,None,1,32500,16250,16250,20,None,-20,None,0,305,0,0,0,0,None,N,23140.0,0.889999985695,None,None,None,None,TomCalpAdjust,None,None,1.97136e+008,None,None
1468959,000,0214607,2017,2,F,08,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:25:55,3,9.0,9,40,150,0.509999990463,360.0,0.0083,None,None,1310.0,None,None,None,None,60,75,38,38,None,None,None,None,0,138,0,0,0,0,None,N,1310.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97054e+008,None,None
1469203,000,6001880,2017,1,A,02,0,Y,EOY ROLL,2016-11-19 06:22:51,None,None,3,None,None,None,None,1.0,43560.0,1.0,None,None,55000.0,None,None,None,None,1,55000,55000,55000,None,None,None,None,1,3007,0,0,0,0,None,N,55000.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97121e+008,None,None
1469465,000,4601816,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:29:23,3,110.0,110,211,150,1.12999999523,23210.0,0.5328,None,None,27970.0,None,None,None,None,110,225,110,110,None,None,None,None,0,220,0,0,0,0,None,N,27970.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.96997e+008,None,None
1469730,000,1506036,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:49:04,3,93.0,93,150,150,1.0,13950.0,0.3202,None,None,62680.0,None,None,None,None,80,725,360,360,None,None,None,None,0,179,0,0,0,0,None,N,62680.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97139e+008,None,None
1469948,000,5610134,2017,1,A,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:50:38,3,90.0,90,180,150,1.0,43560.0,1.0,None,None,33320.0,None,None,None,None,1,42500,21250,21250,20,None,-20,None,0,307,0,0,0,0,None,N,33320.0,0.980000019073,None,None,None,None,TomCalpAdjust,None,None,1.96989e+008,None,None
1470192,000,1503871,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:42:33,3,200.0,200,218,150,1.14999997616,43600.0,1.0009,None,None,36570.0,None,None,None,None,100,225,110,110,None,None,None,None,0,203,0,0,0,0,None,N,36600.0,0.949999988079,None,None,None,None,TomCalpAdjust,None,None,1.97016e+008,None,None
1470411,000,5600484,2017,2,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:50:36,3,48.0,48,150,150,1.0,7200.0,0.1653,None,None,18000.0,None,None,None,None,70,475,240,240,20,None,-35,None,0,157,0,0,0,0,None,N,18000.0,0.990000009537,None,None,None,None,TomCalpAdjust,None,None,1.97031e+008,None,None
1470651,000,3504352,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:45:11.000001,3,86.0,86,140,150,0.959999978542,12040.0,0.2764,None,None,49570.0,None,None,None,None,70,675,340,340,None,None,None,None,0,161,0,0,0,0,None,N,49570.0,0.980000019073,None,None,None,None,TomCalpAdjust,None,None,1.97001e+008,None,None
1470900,000,5612702,2017,2,F,09,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:39:02,3,66.0,66,105,150,0.829999983311,6930.0,0.1591,None,None,5090.0,None,None,None,None,80,85,43,43,None,None,None,None,0,173,0,0,0,0,None,N,5090.0,0.990000009537,None,None,None,None,TomCalpAdjust,None,None,1.97025e+008,None,None
1471124,000,2200350,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,None,None,3,100.0,100,303,150,1.20000004768,30300.0,0.6956,None,None,33000.0,None,None,None,None,100,275,140,140,None,None,None,None,0,204,0,0,0,0,None,N,33000.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97024e+008,None,None
1471368,000,4501971,2017,2,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:48:14.000001,3,100.0,100,256,150,1.16999995708,25600.0,0.5877,None,None,31400.0,None,None,None,None,150,225,110,110,None,None,None,None,0,254,0,0,0,0,None,N,31400.0,0.949999988079,None,None,None,None,TomCalpAdjust,None,None,1.97048e+008,None,None
1471638,000,0217903,2017,1,S,02,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:30:03,3,None,None,None,None,1.0,9900.0,0.2273,None,None,49500.0,None,None,None,None,1,5,5,5,None,None,None,None,1,6018,0,0,0,0,None,N,49500.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97092e+008,None,None
1471857,000,4605764,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:50:36,3,100.0,100,220,150,1.14999997616,22000.0,0.5051,None,None,27170.0,None,None,None,None,100,225,110,110,20,None,5,None,0,203,0,0,0,0,None,N,27170.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.96991e+008,None,None
1472094,000,5000830,2017,2,A,09,0,Y,EOY ROLL,2016-11-19 06:22:51,None,None,3,None,None,None,None,1.0,217800.0,5.0,None,None,0.0,None,None,None,None,1,25000,25000,25000,20,None,175,None,1,3016,0,0,0,0,None,N,343750.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97156e+008,None,None
1472339,000,4607951,2017,2,A,09,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:40:36,3,None,None,None,None,1.0,95832.0,2.2,None,None,0.0,None,None,None,None,1,11500,11500,11500,None,None,None,None,0,310,0,0,0,0,None,N,23530.0,0.930000007153,None,None,None,None,TomCalpAdjust,None,None,1.9716e+008,None,None
1472581,000,4605170,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:29:11.000001,3,120.0,120,314,150,1.21000003815,37680.0,0.865,None,None,29890.0,None,None,None,None,100,225,110,110,None,None,None,None,0,203,0,0,0,0,None,N,29890.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.96998e+008,None,None
1472804,000,4500442,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:45:09,3,100.0,100,525,150,1.27999997139,52500.0,1.2052,None,None,31070.0,None,None,None,None,100,325,160,160,None,None,None,None,0,205,0,0,0,0,None,N,37440.0,0.899999976158,None,None,None,None,TomCalpAdjust,None,None,1.96999e+008,None,None
