OBJECTID,VAL,MSG
90,610,E - EXEMPT PROPERTY OWNED BY STATE OF OH
91,620,E - EXEMPT PROPERTY OWNED BY COUNTIES
92,630,E - EXEMPT PROPERTY OWNED BY TOWNSHIP
93,640,E - EXEMPT PROPERTY OWNED BY MUNICIPALS
94,645,E - EXEMPT PROP OWN/ACQUIRE BY MET AUTH
95,650,E - EXEMPT PROPERTY OWNED BY BD OF EDUC.
96,660,E - EXEMPT PROPERTY OWNED PARK DIST.PUB
97,670,E - EXEMPT PROP OWNED COL-ACAD-PRI SCHOO
98,680,"E - CHARIT EXEMT HOSP HOMS AGED ETC,PRIV"
99,685,E - CHURCHES ETC PUBLIC WORSHIP    PRIVE
100,690,"E - GRAVEYARDS MONUMENTS, CEMETERIES"
101,700,E - COMM URBAN REDEVL CORP TAX ABATEMENT
102,710,E - COMM REINVEST AREA TAX ABATEMENT
103,720,E - MUNICIPAL IMPROVE TAX ABATEMENT
104,730,E - MUNICIPAL URBAN REDEVELOP TAX ABATET
105,740,E - OTHER TAX ABATEMENT
106,800,A - AGRI LAND&IMPRO OWN PUBLIC UTI RAIL
107,820,I - INDU LAND&IMPRO OWN PUBLIC UTI RAIL
108,830,C - COMM LD&IMPRO OWN BY PUB UTI TH RAIL
109,840,U - RAILROAD REAL PROP USED IN OPERATION
110,850,U - RAILROAD REAL PROP NOT USED OPERATOS
111,860,P - RAIL PER PROP USED OPER RAIL PER PRO
112,870,U - RAIL PER PROP NOT USED IN OPERATIONS
113,880,P - PUB UTIL PER PROP OTHER THAN RRS
114,599,R - OTHER RESIDENTIAL
115,501,"R - RESIDENTIAL, 0-9.99 AC"
116,502,"R - RESIDENTIAL, 10-19.99 AC"
117,503,"R - RESIDENTIAL, 20-29.99 AC"
118,504,"R - RESIDENTIAL, 30-39.99 AC"
119,505,"R - RESIDENTIAL, 40+ ACRES"
120,511,"R - SINGLE FAMILY, O-9.99 AC"
121,512,"R - SINGLE FAMILY, 10-19.99 AC"
122,513,"R - SINGLE FAMILY, 20-29.99 AC"
123,514,"R - SINGLE FAMILY, 30-39.99 AC"
124,515,"R - SINGLE FAMILY, 40+ AC"
125,521,"R - TWO FAMILY, 0-9.99 AC"
126,522,"R - TWO FAMILY, 10-19.99 AC"
127,523,"R - TWO FAMILY, 20-29.99 AC"
128,524,"R - TWO FAMILY, 30-39.99 AC"
129,525,"R - TWO FAMILY, 40+ AC"
130,530,"R - THREE FAMILY DWELLING, PLATTED LOT"
131,531,"R - THREE FAMILY, 0-9.99 AC"
132,550,R - CONDOMINIUM
133,560,R - HTRL/MOBILE HOME ON REAL ESTATE
134,569,R - HTRL PERS PROP (HMSTD)
135,482,C - COMMERCIAL TRUCK TERMINALS
136,245,"G - OIL AND GAS RIGHTS, WORKING INTEREST"
137,255,"G - OIL AND GAS RIGHTS, SEPARATE ROYALTY"
138,481,C - MINI WAREHOUSE
139,615,E - EXEMPT FORFEITED LAND
140,625,E - SUSPENSION LIST
141,890,U - SPECIAL ASSESSMENTS RAILROAD
142,741,E - SPECIAL ASSESSMENT - TIF
143,489,C - PUBLIC UTILITY
144,695,E - SOLAR ENERGY
145,655,E - EXEMPT PROP OWNED BY NON PROFIT
146,122,A-TIMBER LAND ON CAUV AS COMMERCIAL
147,123,A-FORLAND QUALIFIED UNDER PRE FLTP
148,124,A-FORLAND QUALIFIED UNDER POST FLTP
